"";"";"";"";"will";""
"1";"will";"-0.799039035910055";"-0.962023745725494";"1.24321386104977";"72"
"2";"doing";"-0.580170896642083";"-0.72910233655164";"1.21238321725837";"76"
"3";"across";"-1.11940902293032";"-1.06400979871533";"1.20372572334522";"82"
"4";"were";"-1.24535732999614";"-0.979003225845943";"1.14044504841175";"96"
"5";"much";"-0.812229367234529";"-0.896509696362009";"1.13795368325689";"98"
"6";"some";"-0.659604482772246";"-0.328790182981523";"1.13390521488024";"100"
"7";"want";"-0.902023960311357";"-1.02560159032077";"1.1158428175075";"104"
"8";"under";"-0.827778747975817";"-0.615131529891165";"1.11447256667233";"106"
"9";"though";"-0.205048025513219";"-0.60413759802201";"1.05480437121341";"134"
"10";"used";"-0.848448350064924";"-0.166881951051208";"1.0482645376819";"137"
"11";"least";"-1.12954529832852";"-1.11200621576807";"1.03568314364985";"140"
"12";"believe";"-0.317938631652477";"-0.898055818412879";"1.02852046882962";"142"
"13";"because";"-0.930031335758624";"-0.112158982200429";"1.01226431119416";"150"
"14";"cannot";"-0.955024910980708";"-0.306380258101871";"0.998125813940321";"154"
"15";"would";"-0.564529497077592";"0.0544876167783617";"0.992208821697526";"156"
"16";"doesn_t";"-0.370454235105763";"-0.18224758324047";"0.981433667402752";"161"
"17";"was";"-1.13242288289446";"-1.35390009421003";"0.974208708453655";"162"
"18";"just";"-0.72828071599794";"-0.351472918304219";"0.967295170148916";"163"
"19";"without";"-0.435625077257426";"0.260395028375745";"0.962125587452579";"165"
"20";"they";"-0.374864334774474";"-0.577642021862308";"0.956582299983013";"170"
"21";"available";"-0.0857996372624731";"-0.74843648878498";"0.952222410962007";"175"
"22";"could";"-0.863404188764779";"-0.150118480623348";"0.950042466451503";"182"
"23";"which";"-0.298649827701232";"-0.227261609538212";"0.949980182322632";"183"
"24";"our";"-0.320736418396512";"-0.418302289086394";"0.946492271105826";"184"
"25";"everyone";"-0.99674103773093";"-1.94232507919066";"0.941696393182719";"189"
"26";"another";"-1.1259483176211";"-0.809638867715615";"0.941696393182719";"190"
"27";"that_s";"-0.759563155691192";"-0.688261048405657";"0.941696393182719";"192"
"28";"who";"-0.557842493531199";"-0.0847771578488192";"0.939827869316573";"194"
"29";"their";"-0.559159344166839";"-0.143104276845714";"0.927682464186626";"203"
"30";"one";"-0.533836382088317";"-0.360604099530359";"0.919398675046713";"205"
"31";"by";"0.0244449734230402";"-0.223254456691856";"0.911239454164543";"209"
"32";"very";"-0.221470515248386";"0.239676406856561";"0.906443576241436";"211"
"33";"name";"-0.520510632862994";"-1.21004225983469";"0.897661514070551";"212"
"34";"same";"-0.932940085847592";"-0.0561117843781177";"0.888754883641923";"217"
"35";"maybe";"-0.873561358291129";"-0.85968352262214";"0.883149312043486";"218"
"36";"via";"-0.588639749050801";"-0.185002438791914";"0.883149312043486";"219"
"37";"probably";"-0.588639749050801";"-0.185002438791914";"0.883149312043486";"220"
"38";"own";"-0.434520691891449";"0.0620045344000678";"0.878602570635864";"221"
"39";"beyond";"-0.361588453998814";"0.322104240871003";"0.873370703810656";"222"
"40";"novel";"-0.175889849113678";"-0.951258573047321";"0.871128475171281";"223"
"41";"your";"-0.468997978657604";"-1.04836082849529";"0.871128475171281";"224"
"42";"since";"-0.0897502613278434";"-0.185370659593033";"0.870318781495952";"226"
"43";"themselves";"-0.435625077257426";"0.260395028375745";"0.865149198799615";"228"
"44";"ever";"-0.0816541747529076";"-0.384790990093374";"0.861848139969424";"232"
"45";"however";"-0.219191053498278";"-0.468690887957734";"0.858547081139233";"234"
"46";"course";"-0.486892918211516";"0.271207254796578";"0.836872204291943";"245"
"47";"through";"0.303474404770892";"-0.300253572915255";"0.828526131023158";"249"
"48";"needs";"-0.28517372594231";"-0.907081671159419";"0.828463846894287";"251"
"49";"where";"-0.0955178629323369";"-0.35632162802164";"0.825100503935225";"252"
"50";"only";"-0.24351003034917";"-0.551947224033855";"0.818934375176944";"253"
"51";"upon";"-0.778641429725538";"0.0307369698997046";"0.816069305248853";"254"
"52";"soon";"-0.778641429725538";"0.0307369698997046";"0.816069305248853";"256"
"53";"seeing";"-0.623518439231643";"-0.408715986221374";"0.802179944510503";"259"
"54";"seems";"-0.707846312542724";"-0.375016046585546";"0.802179944510503";"260"
"55";"them";"0.103749349807219";"-0.3774386987172";"0.8";"262"
